id;nom;groupe;amendements_adoptes;amendements_signes;commission_interventions;commission_presences;hemicycle_interventions;hemicycle_interventions_courtes;propositions_ecrites;propositions_signees;questions_ecrites;questions_orales;rapports;semaines_presence;
402;François Vannson;UMP;0;2;0;0;2;0;0;1;8;1;0;2;
404;Daniel Vaillant;SRC;0;0;0;1;0;0;0;0;0;0;0;1;
405;Arlette Grosskost;UMP;0;0;0;6;0;0;0;4;0;0;0;2;
406;Jean Launay;SRC;0;0;1;1;0;0;0;1;1;0;0;1;
407;Philippe Nauche;SRC;0;0;0;2;2;0;0;0;2;1;0;1;
409;Sandrine Mazetier;SRC;0;0;1;1;6;7;0;1;1;0;0;1;
412;Christophe Sirugue;SRC;0;0;0;4;2;0;0;0;0;1;0;2;
413;François de Rugy;NI;1;40;3;3;2;0;0;0;1;1;0;2;
415;Yves Nicolin;UMP;0;0;0;2;0;2;0;0;1;0;0;2;
416;Chantal Bourragué;UMP;0;8;1;4;1;1;0;3;0;0;0;2;
417;Vincent Descoeur;UMP;0;0;3;5;0;0;0;0;2;0;0;2;
418;Bernard Reynès;UMP;0;2;0;1;0;0;0;0;0;0;0;1;
420;Gérard Bapt;SRC;0;0;48;10;6;3;0;1;1;1;0;2;
421;Martine Pinville;SRC;2;18;0;2;2;0;0;0;0;0;0;1;
422;Franck Riester;UMP;0;7;2;2;0;0;0;0;0;0;0;2;
424;Gérard Lorgeoux;UMP;0;10;0;1;0;0;0;4;3;0;0;1;
426;Georges Siffredi;UMP;0;0;0;1;1;0;0;1;0;1;0;1;
427;Jean-Pierre Nicolas;UMP;0;1;1;3;3;0;0;2;1;2;0;2;
428;Kléber Mesquida;SRC;3;53;1;1;0;0;0;0;6;0;0;1;
429;Frédéric Reiss;UMP;1;5;4;4;0;0;0;3;4;0;0;2;
430;Bernard Deflesselles;UMP;0;7;1;2;0;2;0;0;3;0;0;1;
431;Bernard Lesterlin;SRC;0;5;0;2;0;0;0;0;3;0;0;2;
432;Philippe Duron;SRC;2;32;0;1;1;1;0;1;0;1;0;1;
434;Jean Ueberschlag;UMP;0;0;2;4;0;0;0;0;0;0;0;2;
436;Henri Nayrou;SRC;0;0;0;1;0;0;0;2;0;0;0;1;
437;Geneviève Gaillard;SRC;3;58;4;3;0;0;0;0;8;0;0;2;
438;Yannick Favennec;UMP;0;15;0;2;0;0;0;1;9;0;0;2;
439;Michel Pajon;SRC;0;0;0;1;0;0;0;0;2;0;0;1;
440;Simon Renucci;SRC;2;20;3;5;1;0;0;0;7;0;0;2;
441;Danielle Bousquet;SRC;0;0;5;1;82;545;0;1;2;0;0;2;
442;Marie-Anne Montchamp;UMP;0;0;1;1;0;1;0;0;0;0;0;1;
443;Daniel Paul;GDR;1;92;3;3;40;30;0;0;4;0;0;2;
444;Yanick Paternotte;UMP;5;28;0;1;10;9;0;1;2;0;0;1;
445;Michel Grall;UMP;0;3;1;1;0;0;0;3;5;0;0;1;
446;François Bayrou;NI;0;0;0;1;0;0;0;0;0;0;0;1;
447;Pascal Clément;UMP;0;0;2;3;0;0;0;0;0;0;0;2;
448;Guillaume Garot;SRC;2;22;0;2;1;0;0;0;3;0;0;2;
449;Jacques Le Nay;UMP;0;0;0;2;0;0;0;1;1;0;0;2;
450;Alain Rodet;SRC;0;1;1;2;3;0;0;1;3;0;0;1;
451;André Schneider;UMP;0;2;12;8;1;2;0;2;3;0;0;3;
452;Hervé de Charette;NC;0;0;0;1;0;0;1;1;0;0;0;1;
453;Dominique Tian;UMP;0;1;0;3;0;0;0;2;4;0;0;1;
454;Stéphane Demilly;NC;2;4;0;1;1;0;0;2;3;1;0;1;
455;Laurence Dumont;SRC;0;0;0;2;0;0;0;0;0;0;0;1;
456;Jacques Domergue;UMP;0;1;4;4;10;1;0;5;2;1;0;2;
457;Jacques Bascou;SRC;0;0;2;6;0;0;0;0;2;0;0;2;
458;Philippe Tourtelier;SRC;3;65;64;4;0;0;0;0;4;0;0;2;
459;Véronique Besse;NI;2;6;0;5;1;0;0;3;2;1;0;2;
460;Jean Dionis du Séjour;NC;5;33;1;2;86;57;0;1;0;0;0;2;
461;Béatrice Pavy;UMP;0;0;0;2;0;0;0;0;0;0;0;2;
463;Jean-Paul Anciaux;UMP;0;0;0;1;0;0;0;1;1;0;0;1;
464;Jacqueline Maquet;SRC;3;53;0;1;0;0;0;1;2;0;0;1;
465;Damien Meslot;UMP;0;0;0;1;0;0;0;0;9;0;0;1;
466;Jean-Marie Le Guen;SRC;0;0;10;8;0;0;0;0;2;0;0;3;
467;Daniel Goldberg;SRC;3;60;1;2;3;1;0;0;4;0;0;2;
469;Abdoulatifou Aly;NI;1;3;0;0;2;1;0;2;2;0;0;1;
470;Françoise Branget;UMP;6;30;3;4;1;1;0;3;0;0;0;2;
471;Marc Goua;SRC;0;0;1;4;0;0;0;1;9;0;0;2;
472;Charles de La Verpillière;UMP;0;1;0;2;0;7;0;1;2;0;2;1;
473;Didier Quentin;UMP;0;1;0;2;0;0;0;1;0;0;0;1;
474;Dominique Perben;UMP;0;0;0;2;4;0;0;1;4;1;0;2;
475;Éric Raoult;UMP;0;0;0;1;0;1;0;0;43;0;0;2;
477;Jean-Yves Cousin;UMP;2;9;2;2;0;0;0;8;8;0;0;2;
478;Thierry Mariani;UMP;0;0;2;2;0;0;1;7;0;0;0;1;
479;Gaëtan Gorce;SRC;0;0;2;2;20;13;0;1;0;0;0;2;
480;Françoise Olivier-Coupeau;SRC;0;0;60;10;2;0;0;0;4;1;0;2;
481;Philippe Morenvillier;UMP;0;0;0;4;0;0;0;0;4;0;0;2;
483;Yvan Lachaud;NC;4;4;15;2;37;9;2;4;8;0;1;2;
485;Jean-Claude Bouchet;UMP;0;1;0;3;1;2;1;6;7;0;0;2;
486;Patrick Lebreton;SRC;0;0;0;0;2;0;0;0;5;1;0;1;
488;Jean-Louis Dumont;SRC;0;2;0;1;0;0;0;1;3;0;0;1;
490;Catherine Vautrin;UMP;40;42;0;1;148;281;0;1;2;1;1;2;
491;Françoise Briand;UMP;0;8;0;1;0;0;0;3;3;0;0;1;
492;Michel Vergnier;SRC;0;0;0;3;0;0;0;1;2;0;0;1;
493;Manuel Aeschlimann;UMP;0;0;0;1;0;0;0;0;0;0;0;1;
494;Jean-Pierre Door;UMP;0;2;68;20;0;0;0;1;0;0;0;3;
495;Marie-Josée Roig;UMP;0;0;0;1;0;0;0;5;2;0;0;1;
498;Philippe Gosselin;UMP;4;12;1;2;3;5;0;3;1;1;0;2;
499;Olivier Carré;UMP;0;0;1;2;0;0;0;0;0;0;0;2;
500;Jérôme Lambert;SRC;0;0;5;3;0;0;0;0;0;0;0;1;
501;Jean-Claude Thomas;UMP;0;0;13;1;0;0;0;0;0;0;0;1;
503;Jean-Louis Gagnaire;SRC;4;61;1;2;0;3;0;0;0;0;0;1;
504;Gisèle Biémouret;SRC;0;0;0;4;0;0;0;0;14;0;0;2;
505;Pierre Cardo;UMP;0;7;0;2;0;0;0;1;2;0;0;1;
506;Marie-Christine Dalloz;UMP;6;17;2;6;5;14;0;1;3;0;0;3;
507;André Vallini;SRC;0;0;0;1;0;0;0;0;6;0;0;1;
508;Pierre Méhaignerie;UMP;0;0;39;7;9;6;0;0;0;0;0;2;
509;Patrick Roy;SRC;0;0;1;3;22;46;0;0;8;0;0;2;
510;Tony Dreyfus;SRC;0;0;0;2;66;294;0;0;0;0;0;1;
511;Christophe Priou;UMP;0;0;0;2;1;0;0;0;0;1;0;2;
512;Frédéric Cuvillier;SRC;0;5;0;3;0;0;0;0;0;0;0;2;
513;Claude Bartolone;SRC;0;0;1;1;0;0;0;1;2;0;0;1;
514;Marisol Touraine;SRC;0;2;2;2;28;2;0;1;2;1;0;3;
515;Michel Liebgott;SRC;0;0;5;6;4;0;0;0;28;0;0;2;
516;Patrice Debray;UMP;4;8;1;4;1;2;0;4;2;1;0;4;
517;Maurice Leroy;NC;1;7;0;0;281;733;0;3;6;0;0;2;
518;Claude Leteurtre;NC;0;1;0;1;2;0;0;2;0;2;0;2;
520;Henri Jibrayel;SRC;3;58;0;1;0;0;0;0;1;0;0;1;
521;Henri Emmanuelli;SRC;0;0;5;1;0;4;0;1;2;0;0;1;
522;Valérie Boyer;UMP;0;0;0;8;0;0;2;8;0;0;0;2;
523;Daniel Mach;UMP;0;2;4;2;0;0;0;0;1;0;1;2;
524;André Wojciechowski;UMP;2;11;0;2;0;23;1;5;100;0;0;2;
525;Julien Dray;SRC;0;0;0;1;0;0;0;0;3;0;0;1;
526;Jérôme Bignon;UMP;0;3;38;1;0;0;0;1;0;0;0;1;
527;Jean-Paul Lecoq;GDR;1;92;6;3;0;0;0;0;1;0;0;1;
528;Jean Mallot;SRC;0;3;10;11;106;122;0;1;7;0;0;4;
529;Lionnel Luca;UMP;6;21;8;7;0;1;1;10;3;0;2;2;
531;Maryse Joissains-Masini;UMP;0;1;1;1;0;0;0;3;1;0;0;1;
532;Marie-Françoise Clergeau;SRC;2;18;4;4;22;16;0;1;0;0;0;2;
533;Martial Saddier;UMP;0;9;13;3;0;0;0;0;0;0;0;2;
534;Bérengère Poletti;UMP;0;1;0;2;3;0;0;1;16;2;0;2;
535;Pascal Terrasse;SRC;0;2;0;1;3;6;0;0;7;0;0;1;
536;Jean-Pierre Soisson;UMP;0;0;2;2;0;5;0;0;0;0;0;1;
537;Jean-Jacques Guillet;UMP;1;1;1;1;0;0;0;3;2;0;0;1;
538;Marcel Bonnot;UMP;0;0;0;0;5;0;0;3;3;0;0;1;
541;Valérie Fourneyron;SRC;0;0;7;5;10;1;0;1;1;1;0;2;
542;Dominique Souchet;NI;2;3;3;6;1;0;0;5;1;0;0;2;
543;Jean Gaubert;SRC;5;88;2;2;125;37;0;0;4;1;0;3;
544;Pierre Lequiller;UMP;0;0;3;2;2;0;0;0;0;1;0;2;
545;Arnaud Robinet;UMP;0;3;3;7;0;0;0;2;0;0;0;2;
546;Christian Eckert;SRC;0;0;3;2;6;3;0;1;13;3;0;2;
547;Bernard Derosier;SRC;0;2;3;2;65;51;0;0;0;0;0;2;
548;Serge Poignant;UMP;6;6;22;4;5;0;0;1;1;0;1;2;
550;Philippe Houillon;UMP;0;1;0;1;0;0;0;0;0;0;0;1;
551;Jean-Philippe Maurer;UMP;0;2;0;8;0;0;0;5;11;0;0;3;
552;Dominique Orliac;SRC;0;33;1;3;0;0;0;0;7;0;0;2;
553;Christian Ménard;UMP;4;21;0;3;0;0;0;8;3;0;0;2;
554;Geneviève Colot;UMP;0;7;0;1;0;2;0;1;0;0;0;1;
555;Conchita Lacuey;SRC;0;0;0;1;0;0;0;0;1;0;0;1;
556;Jean-Charles Taugourdeau;UMP;0;7;0;1;0;0;0;2;4;0;0;1;
558;Jean-Michel Fourgous;UMP;0;0;2;1;0;2;0;0;1;0;0;2;
559;Philippe Armand Martin;UMP;1;14;1;2;2;0;0;4;26;1;0;2;
560;Martine Aurillac;UMP;0;0;3;5;1;0;0;3;11;1;0;2;
561;Guy Malherbe;UMP;0;8;0;3;4;9;0;1;4;0;0;1;
562;François Rochebloine;NC;0;0;1;2;17;9;0;2;2;1;0;1;
564;François Calvet;UMP;2;6;0;2;1;6;0;5;0;1;0;2;
565;Antoine Herth;UMP;0;2;0;0;0;1;0;1;1;0;0;1;
566;André Flajolet;UMP;0;6;0;2;0;0;0;2;5;0;0;2;
567;René Dosière;SRC;0;0;0;3;0;0;0;0;53;0;0;2;
569;Annick Girardin;SRC;0;33;0;0;5;1;0;1;3;0;0;1;
570;Cécile Gallez;UMP;0;0;0;6;3;3;0;0;0;0;0;2;
571;Geneviève Fioraso;SRC;5;75;0;2;27;9;0;1;7;0;0;1;
572;Lucien Degauchy;UMP;0;0;0;3;0;1;0;1;1;0;0;1;
574;Raymond Durand;NC;0;0;2;2;0;0;0;4;6;0;0;2;
575;Aurélie Filippetti;SRC;0;4;0;3;90;16;0;1;2;0;0;3;
576;Françoise Guégot;UMP;0;0;1;4;0;0;0;1;1;0;0;2;
577;François Baroin;UMP;0;0;20;1;0;0;0;0;0;0;0;1;
579;Jean-Jacques Urvoas;SRC;0;0;0;1;7;6;0;1;79;1;0;2;
580;Pierre Morange;UMP;0;0;5;5;0;0;0;0;3;0;0;2;
581;Jean-Louis Bianco;SRC;0;0;0;2;0;0;0;1;5;0;0;2;
582;Michel Françaix;SRC;0;0;8;3;0;0;0;0;0;0;0;2;
583;Dominique Caillaud;UMP;0;0;3;6;0;0;0;2;9;0;0;2;
584;Michel Lezeau;UMP;5;6;0;1;0;0;0;0;4;0;0;1;
585;Jacqueline Fraysse;GDR;1;112;2;2;12;6;0;0;1;1;0;3;
586;Bruno Bourg-Broc;UMP;0;2;0;3;0;0;0;0;9;0;0;2;
587;Jean-Michel Couve;UMP;0;3;0;1;0;0;0;8;0;0;0;1;
589;Michel Sapin;SRC;0;0;0;1;0;1;0;1;0;0;0;1;
590;Régis Juanico;SRC;0;0;3;5;14;30;0;0;1;0;0;3;
591;Alain Néri;SRC;0;0;2;2;12;14;0;1;3;0;0;3;
592;Marc Le Fur;UMP;4;29;0;3;35;203;1;8;12;0;0;2;
593;Gilles d'Ettore;UMP;0;0;0;1;0;0;0;3;0;0;0;1;
594;Jean-Marie Morisset;UMP;0;1;0;4;1;0;0;1;5;0;0;2;
596;Catherine Lemorton;SRC;0;0;4;4;14;15;0;1;2;0;0;1;
597;Étienne Pinte;UMP;2;4;0;4;0;0;0;1;0;0;0;2;
598;Michel Vauzelle;SRC;0;0;0;3;0;0;0;0;3;0;0;2;
599;Jean-Yves Le Déaut;SRC;3;56;2;1;0;0;0;0;0;0;0;1;
601;Daniel Boisserie;SRC;0;2;1;3;0;0;0;0;6;0;0;2;
602;Yves Vandewalle;UMP;2;4;0;1;2;0;0;0;1;0;0;1;
603;Daniel Poulou;UMP;0;0;0;3;0;0;0;0;0;0;0;2;
604;Pierre Lang;UMP;0;1;0;1;0;0;0;0;0;0;0;1;
606;Gabriel Biancheri;UMP;0;0;0;2;0;0;0;5;5;0;0;1;
607;Georges Ginesta;UMP;0;0;0;2;0;0;0;0;0;0;0;1;
609;Michel Bouvard;UMP;3;9;8;5;1;0;0;1;4;1;0;2;
610;Jean-Pierre Grand;UMP;2;3;0;1;0;0;2;2;2;0;0;1;
611;Richard Dell'Agnola;UMP;0;0;0;3;2;1;0;1;0;0;0;2;
612;Christophe Bouillon;SRC;2;31;0;7;0;0;0;0;0;0;0;3;
613;Claude Birraux;UMP;1;2;9;5;0;0;0;2;2;0;0;2;
614;Philippe Vitel;UMP;2;12;2;16;2;0;0;5;1;1;0;4;
615;David Douillet;UMP;0;0;1;1;0;0;0;2;3;0;0;1;
616;Marianne Dubois;UMP;0;0;1;4;3;0;0;2;0;1;0;2;
617;Fernand Siré;UMP;0;2;1;4;0;0;0;0;0;0;0;1;
618;Jacques Houssin;UMP;1;2;0;2;0;0;0;0;0;0;0;2;
619;Françoise De Salvador;UMP;0;0;0;1;0;0;0;0;0;0;0;1;
620;Gérard Menuel;UMP;0;0;0;1;0;0;0;0;0;0;0;1;
15;Louis-Joseph Manscour;SRC;3;60;0;0;0;0;0;0;2;0;0;0;
30;Apeleto Albert Likuvalu;SRC;0;34;0;0;0;0;0;0;0;0;0;0;
39;Michel Vaxès;GDR;1;92;0;0;0;0;0;0;0;0;0;0;
81;Claude Bodin;UMP;2;18;0;0;0;0;0;3;2;0;0;0;
91;Patrice Martin-Lalande;UMP;0;3;0;0;0;0;0;4;2;0;0;0;
95;Jean-Claude Mignon;UMP;0;1;0;0;0;0;0;1;3;0;0;0;
108;Brigitte Barèges;UMP;0;7;0;0;0;0;0;1;1;0;0;0;
115;Patrick Balkany;UMP;0;1;0;0;0;0;0;1;6;0;0;0;
136;Charles-Ange Ginesy;UMP;0;7;0;0;0;0;0;1;1;0;0;0;
145;Didier Gonzales;UMP;0;2;0;0;0;0;0;2;0;0;0;0;
167;Nicolas Forissier;UMP;3;9;0;0;0;0;0;1;0;0;0;0;
268;Chantal Robin-Rodrigo;SRC;3;85;0;0;0;0;0;0;7;0;0;0;
288;Thierry Lazaro;UMP;5;30;0;0;0;0;0;4;0;0;0;0;
304;Georges Colombier;UMP;2;5;0;0;0;0;0;5;7;0;0;0;
308;Jean-Sébastien Vialatte;UMP;2;7;0;0;0;0;0;2;0;0;0;0;
312;André Gerin;GDR;1;92;0;0;0;0;0;0;2;0;0;0;
313;Pierre Forgues;SRC;0;2;0;0;0;0;0;0;3;0;0;0;
336;Jean-Yves Besselat;UMP;0;1;0;0;0;0;0;0;0;0;0;0;
400;Francis Hillmeyer;NC;1;7;0;0;0;0;0;3;0;0;0;0;
410;Victorin Lurel;SRC;0;1;0;0;0;0;0;1;0;0;0;0;
411;Christine Marin;UMP;0;1;0;0;0;0;0;2;4;0;0;0;
414;Michel Lefait;SRC;1;29;0;0;0;0;0;0;3;0;0;0;
419;Étienne Blanc;UMP;0;1;0;0;0;0;0;1;0;0;0;0;
425;Jean-Claude Perez;SRC;0;2;0;0;0;0;0;0;6;0;0;0;
468;Sylvia Bassot;UMP;0;1;0;0;0;0;0;0;0;0;0;0;
489;Bernard Carayon;UMP;0;2;0;0;0;0;0;3;54;0;0;0;
497;Franck Marlin;UMP;0;11;0;0;0;0;0;1;4;0;0;0;
502;Marie-George Buffet;GDR;1;92;0;0;0;0;0;0;3;0;0;0;
519;Serge Letchimy;SRC;3;62;0;0;0;0;0;0;0;0;0;0;
530;Jean Leonetti;UMP;0;1;0;0;0;0;0;0;0;0;0;0;
50;Philippe Briand;UMP;0;0;0;0;0;0;0;1;8;0;0;0;
77;Guy Delcourt;SRC;0;0;0;0;0;0;0;0;1;0;0;0;
271;Édouard Courtial;UMP;0;0;0;0;0;0;0;0;1;0;0;0;
289;Christian Patria;UMP;0;0;0;0;0;0;0;1;1;0;0;0;
335;Jacques Le Guen;UMP;0;0;0;0;0;0;0;1;3;0;0;0;
342;Yves Jego;UMP;0;0;0;0;0;0;0;1;7;0;0;0;
373;Nicolas Dupont-Aignan;NI;0;0;0;0;0;0;0;3;5;0;0;0;
387;Jean-Louis Idiart;SRC;0;0;0;0;0;0;0;1;9;0;0;0;
394;René Rouquet;SRC;0;0;0;0;0;0;0;0;4;0;0;0;
487;Odette Duriez;SRC;0;0;0;0;0;0;0;1;7;0;0;0;
496;Delphine Batho;SRC;0;0;0;0;0;0;0;0;4;0;0;0;
588;Jean-Christophe Cambadélis;SRC;0;0;0;0;0;0;0;0;10;0;0;0;
600;Jean Grenet;UMP;0;0;0;0;0;0;0;0;9;0;0;0;
265;Jean-Marc Ayrault;SRC;0;0;0;0;0;0;1;2;0;0;0;0;
4;Arlette Franco;UMP;0;0;0;0;0;0;0;4;0;0;0;0;
32;François-Xavier Villain;NI;0;0;0;0;0;0;0;2;0;0;0;0;
164;François Lamy;SRC;0;0;0;0;0;0;0;1;0;0;0;0;
172;Alfred Almont;UMP;0;0;0;0;0;0;0;1;0;0;0;0;
205;Arnaud Montebourg;SRC;0;0;0;0;0;0;0;1;0;0;0;0;
343;Jean Bardet;UMP;0;0;0;0;0;0;0;1;0;0;0;0;
423;Jean-Luc Reitzer;UMP;0;0;0;0;0;0;0;3;0;0;0;0;
557;Marc-Philippe Daubresse;UMP;0;0;0;0;0;0;0;1;0;0;0;0;
573;Jean Auclair;UMP;0;0;0;0;0;0;0;1;0;0;0;0;
595;Bruno Sandras;UMP;0;0;0;0;0;0;0;5;0;0;0;0;
