id;nom;groupe;amendements_adoptes;amendements_signes;commission_interventions;commission_presences;hemicycle_interventions;hemicycle_interventions_courtes;propositions_ecrites;propositions_signees;questions_ecrites;questions_orales;rapports;semaines_presence;
92;Gérard Gaudron;UMP;0;12;0;3;7;1;0;1;0;0;0;2;
93;Laure de La Raudière;UMP;6;19;0;2;0;0;0;3;3;0;0;1;
94;Germinal Peiro;SRC;3;58;0;1;2;0;0;0;3;1;0;2;
96;Jean-Luc Préel;NC;0;0;5;6;0;0;0;1;3;0;0;2;
97;Élisabeth Guigou;SRC;0;0;3;2;0;0;0;1;2;0;0;2;
98;Yves Censi;UMP;3;4;2;3;6;19;0;0;0;0;0;3;
99;Jean-Patrick Gille;SRC;2;18;4;6;16;10;0;0;4;1;0;2;
100;Michel Heinrich;UMP;0;4;3;5;0;0;0;1;1;0;0;2;
101;Alain Claeys;SRC;0;1;109;10;0;0;0;1;0;0;0;2;
102;Geneviève Levy;UMP;0;2;0;1;0;0;0;4;0;0;0;1;
103;Michel Delebarre;SRC;0;1;3;1;0;0;0;0;1;0;0;1;
104;Yves Albarello;UMP;0;8;1;4;2;1;0;1;0;0;0;2;
105;Gaël Yanno;UMP;0;0;0;3;0;0;0;1;0;0;0;1;
106;Pascale Crozon;SRC;0;0;9;4;0;0;0;1;2;0;0;2;
107;Dominique Le Mèner;UMP;0;0;2;4;0;0;0;2;4;0;0;2;
109;Céleste Lett;UMP;0;0;0;6;0;0;0;0;0;0;0;2;
112;Patrick Ollier;UMP;2;2;4;4;41;89;0;0;0;0;0;3;
113;Michel Zumkeller;UMP;5;26;0;2;3;1;4;6;3;1;0;2;
114;Patrice Calméjane;UMP;1;10;0;2;2;2;0;3;5;1;0;2;
116;Olivier Dassault;UMP;0;0;0;1;0;0;0;1;2;0;0;1;
117;Jean-Yves Le Bouillonnec;SRC;3;64;0;0;29;2;0;1;4;0;0;1;
118;Catherine Quéré;SRC;2;54;0;3;0;0;0;1;6;0;0;2;
120;Jean-Luc Pérat;SRC;0;5;6;6;0;0;0;1;3;0;0;2;
121;Jacques Desallangre;NI;1;92;0;1;0;2;0;1;2;0;0;1;
122;Jean-Claude Leroy;SRC;0;0;0;5;0;0;0;0;11;0;0;2;
123;Yves Fromion;UMP;0;1;2;2;0;0;0;0;2;0;0;1;
124;Jean-Michel Boucheron;SRC;0;0;1;3;0;0;0;0;1;0;0;1;
125;Philippe Cochet;UMP;0;0;1;2;0;0;0;3;2;0;0;2;
126;Alain Suguenot;UMP;0;11;1;2;0;0;0;1;6;0;0;1;
127;Jack Lang;SRC;0;0;0;2;0;0;0;0;0;0;0;1;
128;Jean-François Chossy;UMP;0;6;0;2;0;0;0;9;5;0;0;1;
129;Hervé Mariton;UMP;0;1;1;2;0;0;0;1;0;0;0;2;
130;Patrick Labaune;UMP;0;1;0;1;0;0;0;1;2;0;0;1;
132;Cécile Dumoulin;UMP;0;1;2;6;14;3;0;2;3;0;0;2;
133;Jean-Jacques Gaultier;UMP;0;0;4;4;0;0;0;2;1;0;0;2;
134;Philippe Meunier;UMP;0;0;2;2;0;0;0;2;0;0;0;2;
135;Jean-Pierre Abelin;NC;0;1;0;4;0;0;0;2;1;0;0;2;
137;Colette Langlade;SRC;0;0;3;4;0;0;0;1;1;0;0;2;
138;Jean-Claude Lenoir;UMP;0;2;5;11;0;0;0;0;11;0;0;3;
139;Jean-Pierre Brard;GDR;1;105;1;1;217;133;0;0;0;0;0;3;
140;Pierre-Alain Muet;SRC;0;0;8;4;4;0;0;1;0;1;0;3;
141;Charles de Courson;NC;17;36;19;3;37;29;0;1;0;0;0;2;
142;Thierry Carcenac;SRC;0;0;0;3;0;0;0;1;0;0;0;2;
143;Nicole Ameline;UMP;0;0;2;3;4;0;0;3;0;2;0;2;
146;Gilbert Le Bris;SRC;0;0;3;4;0;0;0;0;3;0;0;2;
147;René Couanau;NI;0;1;3;3;0;0;0;5;0;0;0;2;
148;Jean-Paul Bacquet;SRC;0;0;11;9;0;1;0;0;3;0;0;3;
149;Bruno Le Roux;SRC;0;0;0;0;4;4;1;1;0;1;0;2;
150;Jacques Lamblin;UMP;0;0;0;1;0;0;0;1;6;0;0;1;
151;Marylise Lebranchu;SRC;0;0;3;1;7;11;0;1;3;0;0;2;
152;Jacques Remiller;UMP;0;18;1;5;3;0;1;10;15;0;0;2;
154;Valérie Rosso-Debord;UMP;2;5;2;6;18;26;0;5;25;0;0;3;
155;Muriel Marland-Militello;UMP;6;27;11;2;0;0;0;6;12;0;0;1;
156;Marc Joulaud;UMP;0;0;2;3;0;0;0;1;0;0;0;2;
157;Jean-Claude Mathis;UMP;3;12;1;3;1;0;0;2;1;0;0;2;
158;Guénhaël Huet;UMP;0;0;1;1;2;0;0;0;0;1;0;2;
159;Jean-Pierre Dufau;SRC;0;0;4;4;0;2;0;0;1;0;0;2;
161;Philippe Folliot;NC;0;0;3;3;4;3;0;2;0;1;0;2;
163;Marie-Lou Marcel;SRC;3;58;0;3;5;1;0;1;24;0;0;2;
165;Gilbert Mathon;SRC;0;0;0;1;0;0;0;0;0;0;0;1;
166;Maxime Bono;SRC;2;32;13;5;1;0;0;0;3;1;0;2;
168;Jérôme Chartier;UMP;0;0;7;3;0;0;0;0;0;0;0;2;
169;Roland Blum;UMP;0;1;0;2;0;0;0;2;0;0;0;1;
170;Jean-Pierre Gorges;UMP;0;2;58;5;0;0;0;0;0;0;0;1;
171;Hervé Féron;SRC;0;0;5;6;3;0;0;0;0;1;0;3;
173;Jean-Yves Bony;UMP;0;0;0;1;0;0;0;3;0;0;0;1;
174;Jean-Claude Fruteau;SRC;0;5;0;1;0;0;0;0;0;0;0;1;
175;Gabrielle Louis-Carabin;UMP;3;14;0;4;7;3;0;2;0;0;0;1;
176;René-Paul Victoria;UMP;0;0;0;2;0;0;0;1;0;0;0;1;
178;Rudy Salles;NC;2;12;0;10;0;0;0;2;0;0;0;2;
179;Michel Diefenbacher;UMP;1;9;0;10;25;0;0;5;0;0;0;3;
180;Éric Diard;UMP;3;20;1;2;45;17;1;2;0;0;0;1;
181;Michel Destot;SRC;0;0;0;4;0;0;0;0;6;0;0;2;
182;Francis Saint-Léger;UMP;1;23;0;3;2;1;0;5;13;0;0;2;
183;Marie-Louise Fort;UMP;1;3;9;4;0;0;0;4;2;0;0;3;
184;Georges Mothron;UMP;0;0;0;1;0;2;0;1;0;0;0;1;
185;Monique Iborra;SRC;0;0;0;4;0;0;0;0;1;0;0;2;
186;Guy Chambefort;SRC;0;0;0;1;0;0;0;0;0;0;0;1;
187;Michel Issindou;SRC;0;2;4;5;14;48;0;1;14;1;0;2;
188;Yves Bur;UMP;0;1;23;9;1;22;0;0;1;0;0;3;
189;Jean-Michel Clément;SRC;0;0;1;2;0;0;0;0;3;0;0;2;
190;Jean-Marie Rolland;UMP;0;0;0;5;2;0;0;1;3;2;0;2;
192;Gérard Voisin;UMP;0;0;2;3;0;0;0;3;0;0;0;2;
193;Jean-Claude Beaulieu;UMP;0;0;0;3;0;0;0;1;0;0;0;2;
194;Pierre Bourguignon;SRC;0;0;0;4;0;0;0;1;1;0;0;2;
195;Jacqueline Irles;UMP;0;2;0;2;0;0;0;2;0;0;0;1;
197;Olivier Jardé;NC;30;31;26;6;15;5;1;8;3;0;1;2;
198;André Chassaigne;GDR;1;92;12;9;15;7;0;0;17;1;0;3;
200;Jean-Michel Villaumé;SRC;3;58;0;1;0;0;0;0;0;0;0;1;
201;Philippe Goujon;UMP;0;8;0;1;0;0;0;2;0;0;0;1;
202;Jean Roatta;UMP;3;15;0;2;0;1;0;9;0;0;0;1;
203;Serge Blisko;SRC;0;0;1;8;0;0;0;0;0;0;0;2;
204;Jean-Paul Garraud;UMP;0;0;0;1;0;0;1;3;1;0;0;1;
206;Émile Blessig;UMP;2;12;13;3;4;4;0;4;1;0;0;1;
207;Marc Vampa;NC;0;0;0;2;0;0;0;2;1;0;0;2;
208;Olivier Dussopt;SRC;0;2;1;3;0;0;0;1;7;0;0;1;
209;Serge Grouard;UMP;3;7;97;3;1;0;0;0;2;1;1;2;
210;Nicolas Dhuicq;UMP;0;4;2;3;0;0;0;4;3;0;0;2;
211;Louis Guédon;UMP;0;3;2;4;0;0;0;3;10;0;0;1;
212;Jean-Marc Nesme;UMP;3;14;1;2;0;0;0;4;0;0;0;1;
213;Marcel Rogemont;SRC;0;0;17;5;4;16;0;0;5;0;0;2;
214;Monique Boulestin;SRC;0;0;1;3;0;0;0;0;3;0;0;2;
215;Marguerite Lamour;UMP;3;13;0;1;3;0;0;6;11;0;0;1;
216;Bernard Roman;SRC;0;0;0;1;0;14;0;0;0;0;0;2;
217;Bertrand Pancher;UMP;3;5;9;4;4;9;0;1;1;0;1;2;
219;Patricia Adam;SRC;2;20;2;3;0;0;0;0;8;0;0;2;
220;Didier Mathus;SRC;0;0;2;2;0;0;0;0;0;0;0;1;
221;André Santini;NC;0;0;3;2;0;0;0;0;0;0;0;2;
222;Denis Jacquat;UMP;0;2;12;9;0;0;0;3;16;0;0;2;
223;Martine Faure;SRC;0;0;2;4;0;0;0;1;1;0;0;2;
224;Jean-Marc Lefranc;UMP;0;0;0;3;0;0;0;0;1;0;0;2;
225;Albert Facon;SRC;0;0;1;1;0;2;0;0;2;0;0;1;
226;Hervé Gaymard;UMP;0;0;2;3;0;0;0;0;1;0;1;2;
228;Dominique Raimbourg;SRC;0;0;0;1;0;0;0;0;4;0;0;1;
229;Renaud Muselier;UMP;2;16;0;0;3;4;0;0;1;0;0;2;
230;Corinne Erhel;SRC;3;54;0;2;0;0;0;0;2;0;0;1;
231;Loïc Bouvard;UMP;0;2;0;1;0;0;0;10;0;0;0;1;
232;Pierre Cohen;SRC;0;0;0;2;0;1;0;0;1;0;0;2;
233;Marie-Françoise Pérol-Dumont;SRC;2;28;7;1;2;0;0;0;10;1;0;1;
234;Marc Laffineur;UMP;0;0;0;2;35;179;0;0;0;0;0;2;
235;Jean-Luc Warsmann;UMP;2;2;3;3;0;3;0;0;1;0;0;1;
236;Claude Darciaux;SRC;2;46;3;5;2;0;0;1;3;1;0;2;
237;Joël Giraud;SRC;0;38;1;2;0;0;0;0;2;0;0;2;
238;George Pau-Langevin;SRC;0;0;1;1;0;0;0;1;0;0;0;1;
239;Jacques Myard;UMP;0;1;3;5;0;17;1;5;2;0;0;3;
240;Jean-Jacques Candelier;GDR;1;92;0;1;1;0;0;0;0;1;0;1;
241;François Sauvadet;NC;1;1;0;0;7;18;0;1;9;0;0;1;
242;Noël Mamère;NI;1;36;1;1;0;1;0;0;2;0;0;1;
243;Jeanny Marc;SRC;0;32;0;1;1;0;0;0;0;1;0;1;
244;Isabelle Vasseur;UMP;2;5;0;3;22;24;0;4;4;1;0;2;
245;Michel Havard;UMP;7;15;2;2;0;0;0;0;0;0;0;1;
246;Alain Cousin;UMP;4;5;1;3;4;2;0;1;0;0;0;2;
247;Alain Vidalies;SRC;0;16;0;2;23;14;0;1;5;0;0;1;
248;Patrick Lemasle;SRC;0;0;1;2;0;9;0;1;4;0;0;2;
249;Martine Billard;GDR;1;99;1;2;0;1;1;1;3;0;0;1;
251;Gérard Cherpion;UMP;0;0;1;6;0;0;0;0;0;0;0;2;
252;Thierry Benoit;NC;1;11;0;1;21;40;0;3;0;1;0;1;
253;Michel Piron;UMP;77;89;85;3;0;1;0;1;1;0;1;2;
254;Marc Bernier;UMP;0;6;0;2;0;0;0;6;2;0;0;1;
255;François Scellier;UMP;0;7;1;3;0;1;0;0;0;0;0;3;
257;Marie-Odile Bouillé;SRC;0;0;0;3;0;0;0;1;1;0;0;2;
258;Christian Bataille;SRC;1;2;2;6;0;2;0;0;2;0;0;2;
259;Sauveur Gandolfi-Scheit;UMP;2;9;0;4;2;0;0;5;2;0;0;2;
260;Éric Straumann;UMP;4;8;0;2;0;0;0;4;4;0;0;1;
261;Henri Plagnol;UMP;0;0;0;1;0;0;0;0;0;0;0;1;
262;Chantal Brunel;UMP;0;0;1;1;0;0;0;0;0;0;0;1;
263;Camille de Rocca Serra;UMP;0;0;0;1;0;0;0;1;1;0;0;1;
264;Michel Lejeune;UMP;2;19;4;9;0;0;0;4;0;0;0;3;
266;Alain Ferry;UMP;0;0;0;3;0;0;0;0;0;0;0;2;
267;Jean-François Lamour;UMP;0;8;0;2;34;93;1;1;0;0;0;3;
269;Michel Sordi;UMP;0;3;0;1;0;0;0;3;4;0;0;1;
270;Rémi Delatte;UMP;0;1;1;5;3;0;0;1;5;0;0;2;
273;Guy Lefrand;UMP;0;0;9;10;1;4;0;3;0;0;0;3;
275;Patrice Verchère;UMP;0;5;1;1;1;0;0;4;2;1;0;1;
276;Jean Tiberi;UMP;0;8;0;2;0;0;0;1;0;0;0;1;
277;Jean-François Copé;UMP;0;0;4;1;0;0;0;0;0;0;0;1;
278;Jean-Pierre Giran;UMP;0;1;1;3;0;0;0;1;1;0;0;2;
279;Jean Lassalle;NI;0;0;3;1;3;0;0;1;0;0;0;1;
280;Xavier Breton;UMP;0;2;0;1;0;0;1;2;1;0;0;1;
281;Jean-Pierre Schosteck;UMP;0;18;0;1;0;0;0;5;1;0;0;1;
282;Françoise Imbert;SRC;0;0;0;3;1;0;0;1;7;1;0;2;
283;Laurent Hénart;UMP;0;1;0;4;0;0;0;0;7;0;0;2;
284;Jean-Paul Dupré;SRC;0;0;1;2;3;2;0;0;4;1;0;2;
285;Michel Voisin;UMP;4;17;8;4;0;0;0;8;6;0;0;2;
287;Louis Cosyns;UMP;4;5;0;2;9;4;0;4;8;0;0;2;
290;Alain Marty;UMP;0;0;0;1;0;0;0;0;3;0;0;1;
291;Jean-Frédéric Poisson;UMP;1;5;4;4;5;8;0;5;1;0;0;2;
292;Axel Poniatowski;UMP;0;1;20;6;0;0;0;0;1;0;0;2;
293;Jean-François Mancel;UMP;0;0;24;8;0;0;0;0;12;0;0;3;
294;Étienne Mourrut;UMP;1;4;0;1;0;0;0;3;15;0;0;1;
296;Jean-Marc Roubaud;UMP;5;14;1;5;0;11;0;6;5;0;0;2;
297;Jean-Paul Chanteguet;SRC;3;63;20;4;0;0;0;0;2;0;0;2;
